type,status,isSend,content,content2,talkerId
10000,3,0,"<imgsrc=""SystemMessages_HongbaoIcon.png""/>你领取了姜海东的<_wc_custom_link_color=""#FD9931""href=""weixin","//weixinhongbao/opendetail?sendid=1000039401201708287006750837278&sign=b1710e79bd2b71a51c64a959cad55dea4bf75816f4997c4e6fd09b7b14c385fc717cf7c9937d4890268d81d1fbc38134100d454ede03594b0187df20c80acab31a9191e5175feb8127e616c6ab386dda5bbf2d275ecd9a7c34468fefa158d9cc&ver=6"">红包</_wc_custom_link_>",1569
1,2,1,@我是如此想小心?有这个人,,1569
1,3,0,kuaful,然后呢,1569
1,2,1,照片是哒,,1569
1,2,1,发个大包,,1569
1,2,1,发包就有,,1569
3,2,1,,,1569
1,3,0,kuaful,有没得,1569
1,2,1,有的人福气,,1569
1,3,0,kuaful,先说,1569
1,2,1,@我是如此想小心?有,,1569
1,2,1,建湖人说话算话,,1569
436207665,3,0,kuaful,,1569
10000,3,0,"<imgsrc=""SystemMessages_HongbaoIcon.png""/>你领取了黄亮的<_wc_custom_link_color=""#FD9931""href=""weixin","//weixinhongbao/opendetail?sendid=1000039401201708287007873848168&sign=90b3f1aa3ddd8ba9b52ecdf4c3e6b7067799413eeaa588256884558071e86125135326fc142699d78c42cde6f5db3eb9f60c69fc422e432b9b705d6c431486463d74f660ceb48bdc526cbcf22a82a49d176084c2ad4d1c0a6f400dbb11af8343&ver=6"">红包</_wc_custom_link_>",1569
3,2,1,,,1569
1,2,1,[握手],,1569
1,3,0,kuaful,还可以呢,1569
1,3,0,kuaful,耳垂很大,1569
3,2,1,,,1569
1,2,1,为啥,,1569
1,2,1,我搜不到,,1569
1,3,0,kuaful,发个包,1569
3,2,1,,,1569
1,3,0,kuaful,"无秘-匿名的朋友圈作者是BeijingGozapTechnologyCo.,Ltd.https",1569
3,2,1,,,1569
1,3,0,q32444005,你们怎么这么乱,1569
1,3,0,q32444005,@我爱周星驰?换手机了？,1569
1,3,0,kuaful,@我要去西藏?今天来杭州吗？,1569
1,3,0,q32444005,不去,1569
1,3,0,q32444005,杭州没交意,1569
1,3,0,q32444005,这周去城西,1569
1,3,0,kuaful,什么时候去城西啊,1569
1,3,0,q32444005,明个,1569
1,3,0,kuaful,单子约好了吗,1569
1,3,0,q32444005,还是觉得城西好,1569
1,3,0,q32444005,今天早上的单子还没约呢,1569
1,3,0,q32444005,找不到合适的,1569
1,2,1,@我要去西藏?精,,1569
1,2,1,小米,,1569
1,2,1,之前手机好多应用装不起来了,,1569
1,3,0,q32444005,为什么换小米,1569
1,3,0,kuaful,照片备份了吗,1569
1,2,1,@我要去西藏?便宜,,1569
1,3,0,q32444005,浪，苹果8马就外来了,1569
1,3,0,q32444005,用惯苹果的人，不会用其他手机的,1569
3,2,1,,,1569
3,2,1,,,1569
3,2,1,,,1569
